(CET) 26/03/2023 01:31:56 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['two steps from hell star sky'])
(CET) 26/03/2023 01:31:56 | 1008145667622969397 | play_def -> ['two steps from hell star sky', False]
(CET) 26/03/2023 01:31:57 | 1008145667622969397 | join_def -> [None, True]
(CET) 26/03/2023 01:31:57 | 1008145667622969397 | queue_command_def -> ['two steps from hell star sky', None, True, False, True]
(CET) 26/03/2023 01:31:58 | 1008145667622969397 | search_command_def -> ['two steps from hell star sky', 'short', False, True]
(CET) 26/03/2023 01:32:00 | all | Updated guilds.json
(CET) 26/03/2023 01:32:00 | all | Updated guilds.json
(CET) 26/03/2023 01:32:05 | 1008145667622969397 | play_def -> [None, False]
(CET) 26/03/2023 01:32:07 | 1008145667622969397 | volume_command_def -> [100.0, False, True]
(CET) 26/03/2023 01:32:07 | all | Updated guilds.json
(CET) 26/03/2023 01:32:07 | all | Updated guilds.json
(CET) 26/03/2023 01:32:53 | 1008145667622969397 | play_def -> ['next', False]
(CET) 26/03/2023 01:32:53 | 1008145667622969397 | join_def -> [None, True]
(CET) 26/03/2023 01:32:54 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:32:54 | no guild | Loaded radio.json
(CET) 26/03/2023 01:32:54 | no guild | Loaded languages.json
(CET) 26/03/2023 01:32:54 | no guild | Loaded other.json
(CET) 26/03/2023 01:32:54 | no guild | Bot class initialized
(CET) 26/03/2023 01:32:54 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:32:54 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:32:57 | no guild | Trying to sync commands
(CET) 26/03/2023 01:32:58 | no guild | Synced slash commands for Testing Bot#3465
(CET) 26/03/2023 01:32:58 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 26/03/2023 01:34:05 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: [None])
(CET) 26/03/2023 01:34:05 | 1008145667622969397 | play_def -> [None, False]
